,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%)
204,MovingAverageCrossOver,FMC,2010-01-01/2023-01-01,0.3,XLB,8.079166666666667,14.825833333333334
205,MovingAverageCrossOver,F,2010-01-01/2023-01-01,0.3,XLY,5.352499999999999,5.035
206,MovingAverageCrossOver,FTNT,2010-01-01/2023-01-01,0.3,S&P 500,22.349999999999998,36.98583333333333
207,MovingAverageCrossOver,FTV,2010-01-01/2023-01-01,0.3,S&P 500,0.2583333333333326,7.390000000000001
208,MovingAverageCrossOver,FOXA,2010-01-01/2023-01-01,0.3,S&P 500,-6.683333333333333,1.6700000000000002
209,MovingAverageCrossOver,FOX,2010-01-01/2023-01-01,0.3,S&P 500,-10.916666666666666,-0.8899999999999993
210,MovingAverageCrossOver,BEN,2010-01-01/2023-01-01,0.3,S&P 500,0.31749999999999945,-0.050000000000000266
211,MovingAverageCrossOver,FCX,2010-01-01/2023-01-01,0.3,XLB,1.3041666666666671,8.473333333333334
212,MovingAverageCrossOver,GRMN,2010-01-01/2023-01-01,0.3,S&P 500,10.972499999999998,12.378333333333332
213,MovingAverageCrossOver,IT,2010-01-01/2023-01-01,0.3,S&P 500,14.703333333333331,24.165000000000003
214,MovingAverageCrossOver,GEHC,2010-01-01/2023-01-01,0.3,S&P 500,,
215,MovingAverageCrossOver,GEN,2010-01-01/2023-01-01,0.3,S&P 500,-1.4499999999999993,5.037499999999999
216,MovingAverageCrossOver,GNRC,2010-01-01/2023-01-01,0.3,S&P 500,27.926666666666673,34.76
217,MovingAverageCrossOver,GD,2010-01-01/2023-01-01,0.3,XLI,11.965833333333334,12.240833333333335
218,MovingAverageCrossOver,GE,2010-01-01/2023-01-01,0.3,XLI,-0.23499999999999968,-0.2600000000000007
219,MovingAverageCrossOver,GIS,2010-01-01/2023-01-01,0.3,XLP,1.8933333333333335,6.815833333333333
220,MovingAverageCrossOver,GM,2010-01-01/2023-01-01,0.3,XLY,-0.683333333333333,4.844166666666667
221,MovingAverageCrossOver,GPC,2010-01-01/2023-01-01,0.3,S&P 500,8.044166666666666,11.51
222,MovingAverageCrossOver,GILD,2010-01-01/2023-01-01,0.3,XLV,15.373333333333335,14.866666666666665
223,MovingAverageCrossOver,GL,2010-01-01/2023-01-01,0.3,S&P 500,7.2175,13.6975
224,MovingAverageCrossOver,GPN,2010-01-01/2023-01-01,0.3,S&P 500,13.4525,18.061666666666667
225,MovingAverageCrossOver,GS,2010-01-01/2023-01-01,0.3,XLF,4.8325000000000005,9.569166666666666
226,MovingAverageCrossOver,HAL,2010-01-01/2023-01-01,0.3,XLE,2.828333333333333,6.269166666666666
